School,Common name,Team,City,State,Type,Enrollment,Primary conference
Mercer University,Mercer,Bears,Macon,Georgia,Private/Non-Sectarian,"8,677",Southern Conference
University of Memphis,Memphis,Tigers,Memphis,Tennessee,State,"22,044",American Athletic Conference
McNeese State University,McNeese State,Cowboys and Cowgirls,Lake Charles,Louisiana,State,"7,626",Southland Conference
University of Massachusetts Lowell,UMass Lowell,River Hawks,Lowell,Massachusetts,State,"18,338",America East Conference
University of Massachusetts Amherst,Umass,Minutemen and Minutewomen,Amherst,Massachusetts,State,"30,593",Atlantic 10 Conference
University of Maryland Eastern Shore,Maryland Eastern Shore,Hawks and Lady Hawks,Princess Anne,Maryland,State,"2,333",Mid-Eastern Athletic Conference
"University of Maryland, College Park",Maryland,Terrapins,College Park,Maryland,State,"41,200",Big Ten Conference
"University of Maryland, Baltimore County",UMBC,Retrievers,Catonsville,Maryland,State,"13,602",America East Conference
Marshall University,Marshall,Thundering Herd,Huntington,West Virginia,State,"13,204",Conference USA
Marquette University,Marquette,Golden Eagles,Milwaukee,Wisconsin,Private/Catholic,"11,800",Big East Conference
Marist College,Marist,Red Foxes,Poughkeepsie,New York,Private/Catholic,"6,657",Metro Atlantic Athletic Conference
Manhattan College,Manhattan,Jaspers and Lady Jaspers,Riverdale,New York,Private/Catholic,"3,195",Metro Atlantic Athletic Conference
University of Maine,Maine,Black Bears,Orono,Maine,State,"11,561",America East Conference
Loyola University Maryland,Loyola (MD),Greyhounds,Baltimore,Maryland,Private/Catholic,"6,050",Patriot League
Loyola University Chicago,Loyola–Chicago,Ramblers,Chicago,Illinois,Private/Catholic,"17,159",Missouri Valley Conference
Loyola Marymount University,Loyola Marymount,Lions,Los Angeles,California,Private/Catholic,"9,695",West Coast Conference
University of Louisville,Louisville,Cardinals,Louisville,Kentucky,State,"21,430",Atlantic Coast Conference
Louisiana Tech University,Louisiana Tech,Bulldogs and Lady Techsters,Ruston,Louisiana,State,"11,957",Conference USA
Louisiana State University,LSU,Tigers and Lady Tigers,Baton Rouge,Louisiana,State,"25,920",Southeastern Conference
University of Louisiana at Monroe,Louisiana–Monroe,Warhawks,Monroe,Louisiana,State,"8,854",Sun Belt Conference
University of Louisiana at Lafayette,Louisiana,Ragin' Cajuns,Lafayette,Louisiana,State,"16,934",Sun Belt Conference
Longwood University,Longwood,Lancers,Farmville,Virginia,State,"5,096",Big South Conference
Long Island University,LIU,Sharks,Brooklyn,New York,Private/Non-Sectarian,"15,197",Northeast Conference
Lipscomb University,Lipscomb,Bisons and Lady Bisons,Nashville,Tennessee,Private/Churches of Christ,"4,632",Atlantic Sun Conference
Liberty University,Liberty,Flames and Lady Flames,Lynchburg,Virginia,Private/Christian,"45,935",Atlantic Sun Conference
Lehigh University,Lehigh,Mountain Hawks,Bethlehem,Pennsylvania,Private/Non-Sectarian,"6,849",Patriot League
Lamar University,Lamar,Cardinals and Lady Cardinals,Beaumont,Texas,State,"15,460",Southland Conference
Lafayette College,Lafayette,Leopards,Easton,Pennsylvania,Private/Presbyterian,"2,610",Patriot League
La Salle University,La Salle,Explorers,Philadelphia,Pennsylvania,Private/Catholic,"30,545",Atlantic 10 Conference
University of Kentucky,Kentucky,Wildcats,Lexington,Kentucky,State,"30,545",Southeastern Conference
Kent State University,Kent State,Golden Flashes,Kent,Ohio,State,"26,804",Mid-American Conference
Kennesaw State University,Kennesaw State,Owls and Lady Owls,Kennesaw,Georgia,State,"35,420",Atlantic Sun Conference
Kansas State University,Kansas State,Wildcats,Manhattan,Kansas,State,"21,719",Big 12 Conference
University of Kansas,Kansas,Jayhawks,Lawrence,Kansas,State,"28,423",Big 12 Conference
James Madison University,James Madison,Dukes,Harrisonburg,Virginia,State,"22,667",Colonial Athletic Association
Jacksonville State University,Jacksonville State,Gamecocks,Jacksonville,Alabama,State,"9,021",Ohio Valley Conference
Jacksonville University,Jacksonville,Dolphins,Jacksonville,Florida,Private/Non-Sectarian,"4,174",Atlantic Sun Conference
Jackson State University,Jackson State,Tigers and Lady Tigers,Jackson,Mississippi,State,"7,020",Southwestern Athletic Conference
Iowa State University,Iowa State,Cyclones,Ames,Iowa,State,"33,391",Big 12 Conference
University of Iowa,Iowa,Hawkeyes,Iowa City,Iowa,State,"32,948",Big Ten Conference
Iona College,Iona,Gaels,New Rochelle,New York,Private/Catholic,"3,926",Metro Atlantic Athletic Conference
Indiana University – Purdue University Indianapolis,IUPUI,Jaguars,Indianapolis,Indiana,State,"30,105",Horizon League
Indiana University,Indiana,Hoosiers,Bloomington,Indiana,State,"43,710",Big Ten Conference
Indiana State University,Indiana State,Sycamores,Terre Haute,Indiana,State,"12,531",Missouri Valley Conference
University of the Incarnate Word,Incarnate Word,Cardinals,San Antonio,Texas,Private/Catholic,"10,226",Southland Conference
University of Illinois at Urbana–Champaign,Illinois,Fighting Illini,Urbana–Champaign,Illinois,State,"51,196",Big Ten Conference
Illinois State University,Illinois State,Redbirds,Normal,Illinois,State,"20,635",Missouri Valley Conference
University of Illinois at Chicago,UIC[A 14],Flames,Chicago,Illinois,State,"33,390",Horizon League
Idaho State University,Idaho State,Bengals,Pocatello,Idaho,State,"12,425",Big Sky Conference
University of Idaho,Idaho,Vandals,Moscow,Idaho,State,"11,534",Big Sky Conference
Howard University,Howard,Bison and Lady Bison,Washington,District of Columbia,Private/Non-sectarian,"9,399",Mid-Eastern Athletic Conference
Houston Baptist University,Houston Baptist,Huskies,Houston,Texas,Private/Baptist,"3,741",Southland Conference
University of Houston,Houston,Cougars,Houston,Texas,State,"46,148",American Athletic Conference
College of the Holy Cross,Holy Cross,Crusaders,Worcester,Massachusetts,Private/Catholic,"3,142",Patriot League
Hofstra University,Hofstra,Pride,Hempstead,New York,Private/Non-sectarian,"10,871",Colonial Athletic Association
High Point University,High Point,Panthers,High Point,North Carolina,Private/Methodist,"5,200",Big South Conference
