RegionID,SizeRank,RegionName,RegionType,StateName,11/30/2017,12/31/2017,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020,1/31/2021,2/28/2021,3/31/2021,4/30/2021
394357,63,"Bakersfield, CA",Msa,CA,248854,248420,248516,257978,266676,267537,267632,267632,267154,261897,255206,253199,248516,248420,243736,248420,253295,266791,266676,266676,267537,262848,257978,253295,253295,253295,257978,262757,267584,265721,266676,272411,278146,286749,296302,301086,297263,283881,285000,289900,299900,315000
394753,64,"Knoxville, TN",Msa,TN,274900,269900,265000,269900,279900,294900,299900,299900,289900,279900,279000,274900,272000,274900,269900,273000,284900,295000,299900,299900,309900,299900,295900,289000,279000,275000,275000,286000,300000,300000,315000,336000,349000,348000,325000,319000,299900,299500,299900,300000,324900,364900
394653,65,"Greenville, SC",Msa,SC,256323,256322,256230,260984,269455,272821,275873,278693,274965,270211,260890,259958,260052,256323,256230,260890,270253,279532,279532,277668,268347,265644,262195,263314,262502,258187,260052,270211,270305,267974,279532,288946,288853,288946,288853,290000,289000,280300,279950,290127,303674,334055
394952,66,"Ventura, CA",Msa,CA,829000,829000,828000,829900,829900,849000,799500,799000,789999,765000,744950,739900,725000,718000,729000,749000,755000,779000,798000,809000,810000,825000,847750,845000,830000,860000,879000,924500,930000,875000,899000,930000,954000,959000,950000,949000,930000,990000,,,,
394318,67,"Allentown, PA",Msa,PA,231442,231339,225270,231339,241728,246769,249443,256129,252015,245843,236585,236482,233499,231442,231030,236482,245843,252015,257055,261992,264255,257055,256129,252940,251912,246871,250883,261787,277730,277628,282874,288017,298200,299229,298200,302315,293160,293972,295900,319200,318000,309900
394561,68,"El Paso, TX",Msa,TX,181708,181708,181118,182137,182190,183048,185353,187604,190766,191356,190230,189748,191892,193982,198271,200415,201487,203684,207919,206997,204703,203631,206150,205775,209044,205775,205292,204703,206311,203631,208240,212260,214340,214351,214404,215390,,227400,232750,232950,236950,241450
394367,69,"Baton Rouge, LA",Msa,LA,242000,239900,239000,240000,249000,254900,259500,259900,255000,250000,250000,249900,249930,249535,249900,250000,255000,263000,267900,265000,259900,254900,249900,250000,249990,249900,249900,254000,259900,259900,264900,269900,274900,277295,280000,280000,278900,279000,278800,284990,298900,310000
394521,70,"Dayton, OH",Msa,OH,145504,133812,137373,138064,148267,148799,159321,164741,169949,164635,159321,159321,157195,154113,156770,158896,169949,177485,185467,191206,204598,197583,185998,185892,180578,174838,175370,185998,212463,212463,222124,226376,212569,212463,212463,214900,209900,205000,205990,207990,198990,199900
394843,71,"McAllen, TX",Msa,TX,198000,194900,195000,195000,195000,195500,198000,198000,199000,199000,199900,195000,195000,195000,195000,200000,205000,209900,212000,214000,210000,209900,205000,206500,209000,207500,204950,204900,200000,200000,210000,220000,225000,228000,235000,239000,237450,229000,229000,239900,248000,249000
394486,72,"Columbia, SC",Msa,SC,193218,191332,189935,196968,205411,215635,220418,225014,220418,215728,220324,216657,225108,225108,227922,229704,233549,238144,234487,234487,227275,224170,223223,219949,215635,215728,219643,225108,231674,233012,235988,239177,243867,248463,241644,243400,247400,246900,248806,255600,262043,265800
